TagNum,Ngerm,Plot,Population,Site
369,1,mpnb,fl,mpn
370,1,mpnb,fl,mpn
371,2,mpnb,fl,mpn
372,0,mpnb,fl,mpn
389,5,nna,fl,nn
387,5,nna,fl,nn
399,0,nna,fl,nn
400,2,nna,fl,nn
396,0,nnb,fl,nn
395,3,nnb,fl,nn
393,4,nnb,fl,nn
394,0,nnb,fl,nn
391,1,nsa,fl,ns
392,5,nsa,fl,ns
389,2,nsa,fl,ns
390,0,nsa,fl,ns
385,0,nsb,fl,ns
386,0,nsb,fl,ns
387,0,nsb,fl,ns
388,0,nsb,fl,ns
374,1,mpna,fl,mpn
375,2,mpna,fl,mpn
376,2,mpna,fl,mpn
373,2,mpna,fl,mpn
384,1,mpsa,fl,mps
382,2,mpsa,fl,mps
383,0,mpsa,fl,mps
381,2,mpsa,fl,mps
380,1,mpsb,fl,mps
377,0,mpsb,fl,mps
378,5,mpsb,fl,mps
379,1,mpsb,fl,mps
271,4,hp1a,sc,hp1
269,1,hp1a,sc,hp1
270,4,hp1a,sc,hp1
272,2,hp1a,sc,hp1
273,0,hp1b,sc,hp1
274,3,hp1b,sc,hp1
275,2,hp1b,sc,hp1
276,1,hp1b,sc,hp1
265,5,hp2a,sc,hp2
266,2,hp2a,sc,hp2
267,3,hp2a,sc,hp2
268,4,hp2a,sc,hp2
264,1,hp2b,sc,hp2
263,4,hp2b,sc,hp2
262,0,hp2b,sc,hp2
261,4,hp2b,sc,hp2
285,0,nf7a,sc,nf7
286,3,nf7a,sc,nf7
287,3,nf7a,sc,nf7
288,1,nf7a,sc,nf7
289,1,nf7b,sc,nf7
290,2,nf7b,sc,nf7
291,3,nf7b,sc,nf7
292,5,nf7b,sc,nf7
280,0,nf11a,sc,nf11
277,3,nf11a,sc,nf11
279,2,nf11a,sc,nf11
278,4,nf11a,sc,nf11
283,3,nf11b,sc,nf11
282,4,nf11b,sc,nf11
284,0,nf11b,sc,nf11
281,2,nf11b,sc,nf11
